attraction_id,name,country,province,city,price,rating,latitude,longitude,sentiment_y,popularity,normalized_popularity,sentiment_rating,popularity_rating,price_level
1681,stanley_park_photography_tour_in_vancouver,canada,british_columbia,vancouver,2,2.0,49.2779117,-123.0986452,0.625,1,-0.42259306942200764,Very Good,Not Popular,$$
1682,canada_place_and_vancouver_waterfront_photography_tour,canada,british_columbia,vancouver,2,5.0,49.2779117,-123.0986452,0.54375,1,-0.42259306942200764,Very Good,Not Popular,$$
1683,epic_toronto_night_tour,canada,ontario,toronto,2,4.5,43.0857136,-79.0824311,0.3,1,-0.42259306942200764,OK,Not Popular,$$
1684,the_big_bike_loop,canada,quebec,quebec_city,2,3.0,46.8135797,-71.2017245,0.36333333333333334,2,-0.40462195443124627,Good,Not Popular,$$
1685,poutine_&_smoked_meat_tour,canada,quebec,montreal,1,5.0,45.502057,-73.569345,0.22222222222222224,1,-0.42259306942200764,OK,Not Popular,$
1687,talkwalk_front_and_centre_guided_walking_tour_of_public_art_and_sculpture,canada,ontario,toronto,1,5.0,56.130366,-106.346771,0.34339257964257963,13,-0.2069396895328712,OK,Not Popular,$
1689,nanaimo_kid_aerial_adventure,canada,british_columbia,vancouver_island,1,5.0,49.074147,-123.883895,0.3016534391534392,2,-0.40462195443124627,OK,Not Popular,$
1690,nanaimo_classic_adventure_course,canada,british_columbia,vancouver_island,1,5.0,49.074147,-123.883895,0.30884375000000003,8,-0.29679526448667803,OK,Not Popular,$
1693,3_hour_victoria_electric_bike_rental_delivered,canada,british_columbia,vancouver_island,1,5.0,48.4263706,-123.3703504,0.2348661753590325,5,-0.35070860945896215,OK,Not Popular,$
1694,8_hour_victoria_electric_bike_rental_delivered,canada,british_columbia,vancouver_island,2,5.0,48.4263706,-123.3703504,0.4800000000000001,1,-0.42259306942200764,Very Good,Not Popular,$$
1695,"vancouver_hop-on,_hop-off_&_explore_the_north_shore",canada,british_columbia,vancouver,2,4.0,49.284609,-123.108474,0.4095238095238095,1,-0.42259306942200764,Good,Not Popular,$$
1697,independent_bike_tour_of_niagara-on-the-lake_wineries_including_wine_tastings,canada,ontario,niagara_falls,1,4.5,43.2541511,-79.0854685,0.31016156462585037,7,-0.3147663794774394,OK,Not Popular,$
1701,immersion_quebec:_virtual_reality_experience_of_quebec_city's_history,canada,quebec,quebec_city,1,4.5,46.8130864,-71.2055932,0.4388095238095238,2,-0.40462195443124627,Good,Not Popular,$
1702,city_sights_e-bike_adventure_tour_-_guided,canada,british_columbia,vancouver,2,5.0,49.278014,-123.131252,0.3427411014911015,3,-0.3866508394404849,OK,Not Popular,$$
1703,small-group_niagara_falls_tour,canada,ontario,toronto,3,4.5,45.463769,-73.8233438,-0.07500000000000001,2,-0.40462195443124627,Bad,Not Popular,$$$
1704,street_art_cycling_tour,canada,british_columbia,vancouver,1,5.0,49.2866679,-123.141285,0.6047916666666666,2,-0.40462195443124627,Very Good,Not Popular,$
1706,private_photography_tour_in_vancouver,canada,british_columbia,vancouver,3,5.0,49.2779117,-123.0986452,0.35138888888888886,1,-0.42259306942200764,Good,Not Popular,$$$
1710,scooter_rental,canada,alberta,canadian_rockies,1,5.0,51.18186,-115.575978,0.535,1,-0.42259306942200764,Very Good,Not Popular,$
1716,gourmet_bike_tour_in_niagara-on-the-lake_with_wine_and_beer,canada,ontario,niagara_falls,2,5.0,43.2265419,-79.1159615,0.2622857142857143,3,-0.3866508394404849,OK,Not Popular,$$
1719,seaplane_flight_to_victoria_with_whale_watching_and_return_by_ferry,canada,british_columbia,vancouver,4,4.5,48.4241277,-123.3707833,0.4552008928571429,2,-0.40462195443124627,Very Good,Not Popular,$$$$
1722,30-minute_victoria_carriage_tour_including_james_bay,canada,british_columbia,vancouver_island,2,4.5,48.4204,-123.3710615,0.33878240740740745,6,-0.3327374944682008,OK,Not Popular,$$
1724,quarry_rock_hike_and_photography_tour,canada,british_columbia,vancouver,2,4.0,56.130366,-106.346771,0.6214285714285713,1,-0.42259306942200764,Very Good,Not Popular,$$
1726,sunset_e-bike_adventure_w/wine_&_cheese,canada,british_columbia,vancouver,2,5.0,49.278014,-123.131252,0.3648567019400353,6,-0.3327374944682008,Good,Not Popular,$$
1728,gastown_night_photography_tour,canada,british_columbia,vancouver,2,5.0,49.2779117,-123.0986452,0.4416666666666667,2,-0.40462195443124627,Good,Not Popular,$$
1731,cycling_the_nation's_capital,canada,ontario,ottawa,1,5.0,45.4245926,-75.6944648,0.6088365800865801,4,-0.3686797244497235,Very Good,Not Popular,$
